Pi_c,Pi_tau,rmse_cm,err_early_cm,err_mid_cm,err_late_cm,g_min,R_end_cm,wall_s
0.2,0.01,0.6974,0.2806,0.6572,0.7297,1.683e-01,1.930,5
0.2,1.0,0.7154,0.2869,0.6748,0.7484,1.698e-01,1.949,4
0.2,100.0,0.7159,0.2870,0.6752,0.7489,1.699e-01,1.949,4
1.0,0.01,0.5420,0.2218,0.5076,0.5680,1.623e-01,1.768,4
1.0,1.0,0.5821,0.2353,0.5468,0.6096,1.637e-01,1.809,4
1.0,100.0,0.5832,0.2356,0.5478,0.6107,1.638e-01,1.811,4
5.0,0.01,0.3027,0.1364,0.2783,0.3184,1.647e-01,1.517,4
5.0,1.0,0.3358,0.1464,0.3104,0.3529,1.639e-01,1.552,4
5.0,100.0,0.3365,0.1466,0.3111,0.3537,1.639e-01,1.553,4
