# D_of_C.csv —— 三族附录材料参数扩散系数（fig11(a) 的唯一数据源）
# 公式取自 02-代码/solver_q1.py（附录2）、solver_q23.py（附录3）、solver_q4.py（附录4）
# 附录2 D=7e-9*exp(-0.89/C)（只依赖 C）；附录3 D=2.4e-3*exp(-0.45/C)*exp(-3850/T)；
# 附录4 D=4.2e-4*exp(-0.30/C)*exp(-3850/T)；T 开尔文、C 干基含水率 kg/kg
# T_ref=301.15 K（初温）、T_hot=323.315 K（环境温度上界）；生成：python plot_all.py fig11
C_kg_kg,D_apx2_m2_s,D_apx3_Tref_m2_s,D_apx4_Tref_m2_s,D_apx3_Thot_m2_s,D_apx4_Thot_m2_s
0.73,2.0683105e-09,3.6335648e-09,7.8092539e-10,8.7289864e-09,1.8760329e-09
0.74,2.1026689e-09,3.6639597e-09,7.8527433e-10,8.8020047e-09,1.8864805e-09
0.75,2.1366592e-09,3.6937882e-09,7.8953054e-10,8.8736624e-09,1.8967053e-09
0.76,2.1702829e-09,3.7230651e-09,7.9369692e-10,8.9439949e-09,1.9067142e-09
0.77,2.2035418e-09,3.7518046e-09,7.9777622e-10,9.0130365e-09,1.916514e-09
0.78,2.2364382e-09,3.7800206e-09,8.0177109e-10,9.0808203e-09,1.926111e-09
0.79,2.2689743e-09,3.8077265e-09,8.0568406e-10,9.1473787e-09,1.9355112e-09
0.8,2.3011526e-09,3.8349352e-09,8.0951761e-10,9.2127428e-09,1.9447206e-09
0.81,2.332976e-09,3.8616594e-09,8.1327406e-10,9.2769428e-09,1.9537448e-09
0.82,2.3644473e-09,3.8879113e-09,8.1695569e-10,9.3400081e-09,1.9625892e-09
0.83,2.3955695e-09,3.9137026e-09,8.2056468e-10,9.4019671e-09,1.9712592e-09
0.84,2.4263458e-09,3.9390448e-09,8.2410312e-10,9.4628473e-09,1.9797597e-09
0.85,2.4567794e-09,3.9639491e-09,8.2757302e-10,9.5226755e-09,1.9880955e-09
0.86,2.4868738e-09,3.9884263e-09,8.3097633e-10,9.5814774e-09,1.9962713e-09
0.87,2.5166324e-09,4.0124867e-09,8.3431492e-10,9.6392782e-09,2.0042917e-09
0.88,2.5460586e-09,4.0361405e-09,8.3759059e-10,9.6961022e-09,2.0121609e-09
0.89,2.5751561e-09,4.0593975e-09,8.4080509e-10,9.7519731e-09,2.0198831e-09
0.9,2.6039285e-09,4.0822673e-09,8.4396007e-10,9.8069136e-09,2.0274624e-09
0.91,2.6323795e-09,4.1047591e-09,8.4705717e-10,9.8609461e-09,2.0349026e-09
0.92,2.6605127e-09,4.1268818e-09,8.5009794e-10,9.914092e-09,2.0422075e-09
0.93,2.6883319e-09,4.1486442e-09,8.5308388e-10,9.9663722e-09,2.0493807e-09
0.94,2.7158409e-09,4.1700547e-09,8.5601644e-10,1.0017807e-08,2.0564257e-09
0.95,2.7430434e-09,4.1911214e-09,8.5889703e-10,1.0068416e-08,2.0633458e-09
0.96,2.7699432e-09,4.2118524e-09,8.6172701e-10,1.0118218e-08,2.0701443e-09
0.97,2.796544e-09,4.2322553e-09,8.6450766e-10,1.0167233e-08,2.0768243e-09
0.98,2.8228496e-09,4.2523377e-09,8.6724028e-10,1.0215477e-08,2.0833889e-09
0.99,2.8488638e-09,4.2721068e-09,8.6992606e-10,1.0262969e-08,2.089841e-09
1,2.8745903e-09,4.2915696e-09,8.725662e-10,1.0309725e-08,2.0961835e-09
1.01,2.9000328e-09,4.3107331e-09,8.7516183e-10,1.0355762e-08,2.102419e-09
1.02,2.925195e-09,4.329604e-09,8.7771407e-10,1.0401096e-08,2.1085503e-09
1.03,2.9500806e-09,4.3481886e-09,8.8022397e-10,1.0445742e-08,2.1145799e-09
1.04,2.9746932e-09,4.3664933e-09,8.8269258e-10,1.0489716e-08,2.1205103e-09
1.05,2.9990366e-09,4.3845242e-09,8.8512089e-10,1.0533032e-08,2.1263439e-09
1.06,3.0231142e-09,4.4022873e-09,8.8750988e-10,1.0575704e-08,2.132083e-09
1.07,3.0469298e-09,4.4197883e-09,8.8986048e-10,1.0617747e-08,2.1377299e-09
1.08,3.0704867e-09,4.4370329e-09,8.9217361e-10,1.0659174e-08,2.1432868e-09
1.09,3.0937885e-09,4.4540265e-09,8.9445014e-10,1.0699998e-08,2.1487557e-09
1.1,3.1168387e-09,4.4707744e-09,8.9669094e-10,1.0740232e-08,2.1541388e-09
1.11,3.1396406e-09,4.4872819e-09,8.9889682e-10,1.0779888e-08,2.1594381e-09
1.12,3.1621978e-09,4.5035539e-09,9.0106859e-10,1.0818979e-08,2.1646554e-09
1.13,3.1845135e-09,4.5195953e-09,9.0320703e-10,1.0857516e-08,2.1697926e-09
1.14,3.2065911e-09,4.535411e-09,9.053129e-10,1.089551e-08,2.1748516e-09
1.15,3.2284337e-09,4.5510055e-09,9.0738692e-10,1.0932973e-08,2.179834e-09
1.16,3.2500448e-09,4.5663834e-09,9.0942982e-10,1.0969916e-08,2.1847417e-09
1.17,3.2714274e-09,4.5815491e-09,9.1144228e-10,1.1006348e-08,2.1895763e-09
1.18,3.2925846e-09,4.5965068e-09,9.1342497e-10,1.1042282e-08,2.1943393e-09
1.19,3.3135197e-09,4.6112607e-09,9.1537854e-10,1.1077725e-08,2.1990324e-09
1.2,3.3342357e-09,4.6258149e-09,9.1730362e-10,1.1112689e-08,2.2036571e-09
1.21,3.3547356e-09,4.6401733e-09,9.1920084e-10,1.1147183e-08,2.2082148e-09
1.22,3.3750224e-09,4.6543399e-09,9.2107078e-10,1.1181215e-08,2.212707e-09
1.23,3.395099e-09,4.6683183e-09,9.2291402e-10,1.1214796e-08,2.2171351e-09
1.24,3.4149683e-09,4.6821121e-09,9.2473114e-10,1.1247933e-08,2.2215004e-09
1.25,3.4346332e-09,4.6957251e-09,9.2652268e-10,1.1280636e-08,2.2258042e-09
1.26,3.4540966e-09,4.7091607e-09,9.2828916e-10,1.1312912e-08,2.2300479e-09
1.27,3.4733611e-09,4.7224222e-09,9.3003112e-10,1.1344771e-08,2.2342326e-09
1.28,3.4924296e-09,4.7355129e-09,9.3174905e-10,1.1376219e-08,2.2383597e-09
1.29,3.5113047e-09,4.7484362e-09,9.3344345e-10,1.1407265e-08,2.2424301e-09
1.3,3.529989e-09,4.7611951e-09,9.3511479e-10,1.1437916e-08,2.2464452e-09
1.31,3.5484853e-09,4.7737927e-09,9.3676354e-10,1.1468179e-08,2.2504061e-09
1.32,3.566796e-09,4.786232e-09,9.3839014e-10,1.1498062e-08,2.2543137e-09
1.33,3.5849238e-09,4.7985159e-09,9.3999505e-10,1.1527572e-08,2.2581692e-09
1.34,3.6028711e-09,4.8106473e-09,9.4157869e-10,1.1556716e-08,2.2619736e-09
1.35,3.6206403e-09,4.822629e-09,9.4314148e-10,1.15855e-08,2.2657279e-09
1.36,3.6382339e-09,4.8344637e-09,9.4468382e-10,1.161393e-08,2.2694331e-09
1.37,3.6556544e-09,4.846154e-09,9.4620611e-10,1.1642014e-08,2.2730901e-09
1.38,3.6729039e-09,4.8577025e-09,9.4770874e-10,1.1669757e-08,2.2766999e-09
1.39,3.6899849e-09,4.8691118e-09,9.4919208e-10,1.1697166e-08,2.2802634e-09
1.4,3.7068997e-09,4.8803843e-09,9.5065651e-10,1.1724246e-08,2.2837814e-09
1.41,3.7236504e-09,4.8915225e-09,9.5210237e-10,1.1751004e-08,2.2872549e-09
1.42,3.7402393e-09,4.9025287e-09,9.5353003e-10,1.1777444e-08,2.2906845e-09
1.43,3.7566685e-09,4.9134052e-09,9.5493981e-10,1.1803573e-08,2.2940713e-09
1.44,3.7729402e-09,4.9241543e-09,9.5633205e-10,1.1829396e-08,2.2974159e-09
1.45,3.7890565e-09,4.9347782e-09,9.5770708e-10,1.1854918e-08,2.3007192e-09
1.46,3.8050195e-09,4.9452789e-09,9.5906521e-10,1.1880144e-08,2.3039818e-09
1.47,3.8208311e-09,4.9556587e-09,9.6040675e-10,1.190508e-08,2.3072046e-09
1.48,3.8364935e-09,4.9659196e-09,9.6173199e-10,1.1929729e-08,2.3103883e-09
1.49,3.8520085e-09,4.9760635e-09,9.6304124e-10,1.1954098e-08,2.3135335e-09
1.5,3.8673782e-09,4.9860926e-09,9.6433479e-10,1.1978191e-08,2.316641e-09
1.51,3.8826044e-09,4.9960085e-09,9.656129e-10,1.2002013e-08,2.3197115e-09
1.52,3.8976891e-09,5.0058134e-09,9.6687585e-10,1.2025567e-08,2.3227455e-09
1.53,3.912634e-09,5.0155089e-09,9.6812391e-10,1.2048859e-08,2.3257437e-09
1.54,3.927441e-09,5.025097e-09,9.6935735e-10,1.2071893e-08,2.3287068e-09
1.55,3.9421119e-09,5.0345793e-09,9.7057641e-10,1.2094672e-08,2.3316354e-09
1.56,3.9566485e-09,5.0439576e-09,9.7178135e-10,1.2117202e-08,2.3345301e-09
1.57,3.9710525e-09,5.0532335e-09,9.729724e-10,1.2139486e-08,2.3373914e-09
1.58,3.9853256e-09,5.0624088e-09,9.7414981e-10,1.2161527e-08,2.3402199e-09
1.59,3.9994695e-09,5.071485e-09,9.7531381e-10,1.2183331e-08,2.3430162e-09
1.6,4.0134858e-09,5.0804638e-09,9.7646462e-10,1.2204901e-08,2.3457808e-09
1.61,4.0273763e-09,5.0893465e-09,9.7760247e-10,1.2226241e-08,2.3485143e-09
1.62,4.0411424e-09,5.0981349e-09,9.7872758e-10,1.2247353e-08,2.3512171e-09
1.63,4.0547859e-09,5.1068304e-09,9.7984015e-10,1.2268242e-08,2.3538899e-09
1.64,4.0683081e-09,5.1154343e-09,9.8094039e-10,1.2288912e-08,2.356533e-09
1.65,4.0817108e-09,5.1239482e-09,9.8202851e-10,1.2309365e-08,2.359147e-09
1.66,4.0949953e-09,5.1323734e-09,9.831047e-10,1.2329605e-08,2.3617324e-09
1.67,4.1081632e-09,5.1407114e-09,9.8416917e-10,1.2349635e-08,2.3642896e-09
1.68,4.1212159e-09,5.1489634e-09,9.852221e-10,1.2369459e-08,2.366819e-09
1.69,4.1341549e-09,5.1571307e-09,9.8626367e-10,1.238908e-08,2.3693212e-09
1.7,4.1469816e-09,5.1652147e-09,9.8729407e-10,1.24085e-08,2.3717966e-09
1.71,4.1596973e-09,5.1732166e-09,9.8831347e-10,1.2427723e-08,2.3742455e-09
1.72,4.1723035e-09,5.1811376e-09,9.8932206e-10,1.2446752e-08,2.3766685e-09
1.73,4.1848015e-09,5.1889789e-09,9.9031999e-10,1.2465589e-08,2.3790658e-09
1.74,4.1971927e-09,5.1967418e-09,9.9130745e-10,1.2484238e-08,2.381438e-09
1.75,4.2094783e-09,5.2044274e-09,9.9228459e-10,1.2502702e-08,2.3837854e-09
1.76,4.2216596e-09,5.2120369e-09,9.9325157e-10,1.2520982e-08,2.3861084e-09
1.77,4.233738e-09,5.2195712e-09,9.9420855e-10,1.2539082e-08,2.3884074e-09
1.78,4.2457146e-09,5.2270317e-09,9.9515569e-10,1.2557004e-08,2.3906827e-09
1.79,4.2575907e-09,5.2344192e-09,9.9609313e-10,1.2574752e-08,2.3929347e-09
1.8,4.2693676e-09,5.241735e-09,9.9702102e-10,1.2592326e-08,2.3951638e-09
1.81,4.2810463e-09,5.24898e-09,9.9793951e-10,1.2609731e-08,2.3973704e-09
1.82,4.2926281e-09,5.2561552e-09,9.9884874e-10,1.2626968e-08,2.3995546e-09
1.83,4.3041142e-09,5.2632616e-09,9.9974885e-10,1.264404e-08,2.401717e-09
1.84,4.3155056e-09,5.2703002e-09,1.00064e-09,1.2660949e-08,2.4038577e-09
1.85,4.3268036e-09,5.277272e-09,1.0015222e-09,1.2677698e-08,2.4059772e-09
1.86,4.3380092e-09,5.284178e-09,1.0023958e-09,1.2694288e-08,2.4080757e-09
1.87,4.3491235e-09,5.2910189e-09,1.0032607e-09,1.2710722e-08,2.4101536e-09
1.88,4.3601475e-09,5.2977958e-09,1.0041172e-09,1.2727002e-08,2.4122112e-09
1.89,4.3710824e-09,5.3045095e-09,1.0049654e-09,1.2743131e-08,2.4142487e-09
1.9,4.3819293e-09,5.3111609e-09,1.0058053e-09,1.275911e-08,2.4162665e-09
1.91,4.392689e-09,5.3177509e-09,1.0066371e-09,1.2774941e-08,2.4182648e-09
1.92,4.4033626e-09,5.3242803e-09,1.0074609e-09,1.2790627e-08,2.4202439e-09
1.93,4.4139512e-09,5.3307499e-09,1.0082769e-09,1.2806169e-08,2.4222041e-09
1.94,4.4244557e-09,5.3371606e-09,1.0090851e-09,1.2821569e-08,2.4241456e-09
1.95,4.434877e-09,5.3435131e-09,1.0098856e-09,1.283683e-08,2.4260688e-09
1.96,4.4452162e-09,5.3498082e-09,1.0106786e-09,1.2851953e-08,2.4279738e-09
1.97,4.4554742e-09,5.3560467e-09,1.0114642e-09,1.286694e-08,2.429861e-09
1.98,4.4656519e-09,5.3622294e-09,1.0122424e-09,1.2881793e-08,2.4317305e-09
1.99,4.4757501e-09,5.368357e-09,1.0130134e-09,1.2896513e-08,2.4335827e-09
2,4.4857699e-09,5.3744301e-09,1.0137773e-09,1.2911103e-08,2.4354178e-09
2.01,4.4957121e-09,5.3804497e-09,1.0145341e-09,1.2925563e-08,2.4372359e-09
2.02,4.5055776e-09,5.3864162e-09,1.015284e-09,1.2939897e-08,2.4390374e-09
2.03,4.5153672e-09,5.3923305e-09,1.0160271e-09,1.2954105e-08,2.4408225e-09
2.04,4.5250817e-09,5.3981932e-09,1.0167634e-09,1.2968189e-08,2.4425913e-09
2.05,4.5347221e-09,5.404005e-09,1.017493e-09,1.2982151e-08,2.4443441e-09
2.06,4.5442892e-09,5.4097666e-09,1.0182161e-09,1.2995992e-08,2.4460812e-09
2.07,4.5537836e-09,5.4154785e-09,1.0189327e-09,1.3009714e-08,2.4478027e-09
2.08,4.5632064e-09,5.4211415e-09,1.0196429e-09,1.3023318e-08,2.4495089e-09
2.09,4.5725582e-09,5.4267561e-09,1.0203468e-09,1.3036806e-08,2.4511998e-09
2.1,4.5818398e-09,5.4323229e-09,1.0210445e-09,1.305018e-08,2.4528759e-09
2.11,4.591052e-09,5.4378426e-09,1.021736e-09,1.306344e-08,2.4545372e-09
2.12,4.6001956e-09,5.4433158e-09,1.0224215e-09,1.3076588e-08,2.4561839e-09
2.13,4.6092713e-09,5.448743e-09,1.023101e-09,1.3089626e-08,2.4578162e-09
2.14,4.6182798e-09,5.4541248e-09,1.0237745e-09,1.3102555e-08,2.4594344e-09
2.15,4.6272219e-09,5.4594618e-09,1.0244423e-09,1.3115376e-08,2.4610385e-09
2.16,4.6360982e-09,5.4647546e-09,1.0251043e-09,1.3128091e-08,2.4626288e-09
2.17,4.6449096e-09,5.4700036e-09,1.0257606e-09,1.3140701e-08,2.4642055e-09
2.18,4.6536566e-09,5.4752094e-09,1.0264113e-09,1.3153207e-08,2.4657688e-09
2.19,4.6623399e-09,5.4803726e-09,1.0270565e-09,1.316561e-08,2.4673187e-09
2.2,4.6709604e-09,5.4854937e-09,1.0276962e-09,1.3177913e-08,2.4688555e-09
2.21,4.6795185e-09,5.4905731e-09,1.0283305e-09,1.3190115e-08,2.4703793e-09
2.22,4.688015e-09,5.4956114e-09,1.0289595e-09,1.3202219e-08,2.4718903e-09
2.23,4.6964505e-09,5.5006091e-09,1.0295832e-09,1.3214225e-08,2.4733887e-09
2.24,4.7048257e-09,5.5055666e-09,1.0302018e-09,1.3226134e-08,2.4748746e-09
2.25,4.7131411e-09,5.5104845e-09,1.0308152e-09,1.3237949e-08,2.4763482e-09
